,S3AQ2A1,CHECK321,S3AQ51,S3AQ10D,S3AQ10GR
0, ,, , , 
1, ,, , , 
2, ,, , , 
3, ,, , , 
4, ,, , , 
5, ,, , , 
6, ,, , , 
7, ,, , , 
8, ,, , , 
9, ,, , , 
10,13,1.0,20,20,20
11,16,2.0,19, , 
12, ,, , , 
13,16,1.0,20, , 
14,25,1.0,30,50,50
15, ,, , , 
16,20,2.0, , , 
17,10,1.0,15,30,40
18,22,1.0,23, , 
19, ,, , , 
20,20,1.0,21,24,25
21, ,, , , 
22,5,1.0,5,76,77
23, ,, , , 
24, ,, , , 
25, ,, , , 
26, ,, , , 
27, ,, , , 
28, ,, , , 
29, ,, , , 
30, ,, , , 
31,12,1.0,16, , 
32, ,, , , 
33, ,, , , 
34,25,2.0, , , 
35, ,, , , 
36, ,, , , 
37, ,, , , 
38, ,, , , 
39, ,, , , 
40,25,1.0,25, , 
41, ,, , , 
42, ,, , , 
43, ,, , , 
44,11,1.0,12,12,33
45, ,, , , 
46,10,1.0,24,38,39
47,19,2.0,28, , 
48, ,, , , 
49, ,, , , 
50,12,2.0,24, , 
51, ,, , , 
52,16,2.0,35, , 
53,15,2.0,21, , 
54, ,, , , 
55, ,, , , 
56, ,, , , 
57, ,, , , 
58, ,, , , 
59, ,, , , 
60, ,, , , 
61, ,, , , 
62,19,1.0,99, , 
63, ,, , , 
64,16,1.0,47, , 
65, ,, , , 
66, ,, , , 
67,14,1.0,15,48,49
68,17,1.0,17,40,40
69, ,, , , 
70,19,2.0,19,19,19
71,13,1.0,18,20,20
72, ,, , , 
73, ,, , , 
74,17,1.0,21,32,33
75,13,1.0,18,45,46
76,15,1.0,19,20,21
77, ,, , , 
78, ,, , , 
79,14,1.0,16, , 
80, ,, , , 
81, ,, , , 
82, ,, , , 
83, ,, , , 
84, ,, , , 
85,18,1.0,35,34,47
86, ,, , , 
87, ,, , , 
88, ,, , , 
89,11,1.0,18,35,35
90, ,, , , 
91, ,, , , 
92,30,2.0,30, , 
93, ,, , , 
94, ,, , , 
95,16,1.0,16,16,16
96, ,, , , 
97, ,, , , 
98,18,2.0,18, , 
99, ,, , , 
100, ,, , , 
101, ,, , , 
102,15,1.0,18,20,20
103, ,, , , 
104, ,, , , 
105,12,2.0,23,22,22
106, ,, , , 
107,99,1.0,99, , 
108,17,2.0,17, , 
109, ,, , , 
110, ,, , , 
111,16,1.0,16, , 
112, ,, , , 
113,17,2.0, , , 
114, ,, , , 
115, ,, , , 
116,20,2.0, , , 
117, ,, , , 
118, ,, , , 
119, ,, , , 
120, ,, , , 
121,14,1.0,16,17,17
122, ,, , , 
123, ,, , , 
124, ,, , , 
125,15,2.0,17, , 
126, ,, , , 
127, ,, , , 
128,17,2.0,18, , 
129, ,, , , 
130, ,, , , 
131, ,, , , 
132, ,, , , 
133,12,1.0,12,30,49
